 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
  0.114725903      0.794299901       4.12221112E+11
  0.121518597      0.749899864       4.34194842E+11
  0.128728300      0.707900047       4.48573243E+11
  0.136356100      0.668299973       4.68683915E+11
  0.144416496      0.630999804       4.86790726E+11
  0.152974293      0.595699906       4.99430982E+11
  0.162060797      0.562299967       5.12760644E+11
  0.171645805      0.530900061       5.15365437E+11
  0.181817204      0.501199961       5.22194223E+11
  0.192575604      0.473200023       5.21167602E+11
  0.203999996      0.446699888       5.18930366E+11
  0.216093898      0.421699911       5.09547839E+11
  0.228904203      0.398100019       5.02858121E+11
  0.242487401      0.375800043       4.79511151E+11
  0.256839812      0.354800045       4.54946652E+11
  0.272020191      0.335000038       4.28763578E+11
  0.288193494      0.316199988       4.00937255E+11
  0.305282295      0.298500031       3.64415255E+11
  0.323373914      0.281800032       3.28175387E+11
  0.342453212      0.266099930       2.92235772E+11
  0.362765789      0.251200050       2.55664570E+11
  0.384339005      0.237099990       2.21109436E+11
  0.406997710      0.223899946       1.82901670E+11
  0.431267291      0.211299971       1.53004507E+11
  0.456775814      0.199499995       1.25510189E+11
  0.483687788      0.188399985       9.65092229E+10
  0.512524128      0.177799955       7.48069274E+10
  0.542744279      0.167900011       5.76862822E+10
  0.574932277      0.158500031       4.17453425E+10
  0.609136224      0.149599984       2.94859858E+10
  0.644917071      0.141299993       2.05241037E+10
  0.683109283      0.133399993       1.34906911E+10
  0.723802805      0.125900000       8.66196890E+09
  0.766415298      0.118900001       5.59046554E+09
  0.812181592      0.112199999       3.52988160E+09
  0.860498428      0.105899990       1.89516019E+09
  0.911267817       9.99999866E-02   1.06354598E+09
  0.965223730       9.44099948E-02   589711808.    
   1.02240300       8.91299993E-02   259407328.    
   1.08303702       8.41400400E-02   108788912.    
   1.14725900       7.94299915E-02   61671064.0    
   1.21518600       7.49899819E-02   12125556.0    
   1.28728294       7.07900152E-02   18308938.0    
   1.36356103       6.68299943E-02   6493586.50    
   1.44416404       6.31000176E-02   0.00000000    
   1.52974296       5.95699884E-02   0.00000000    
   1.62060797       5.62299937E-02   0.00000000    
   1.71645796       5.30900098E-02   0.00000000    
   1.81817198       5.01199961E-02   0.00000000    
   1.92575598       4.73200008E-02   0.00000000    
   2.03999901       4.46700081E-02   0.00000000    
   2.16093898       4.21699919E-02   0.00000000    
   2.28904200       3.98100056E-02   0.00000000    
   2.42487407       3.75800021E-02   0.00000000    
   2.56839800       3.54800038E-02   0.00000000    
   2.72020197       3.35000046E-02   0.00000000    
   2.88193488       3.16199958E-02   0.00000000    
   3.05282307       2.98500024E-02   0.00000000    
   3.23373890       2.81800050E-02   0.00000000    
   3.42453098       2.66100019E-02   0.00000000    
   3.62765789       2.51200031E-02   0.00000000    
   3.84338999       2.37099994E-02   0.00000000    
   4.06997585       2.23900042E-02   0.00000000    
   4.31267309       2.11299974E-02   0.00000000    
   4.56775808       1.99500006E-02   0.00000000    
   4.83687782       1.88399982E-02   0.00000000    
   5.12523985       1.77800022E-02   0.00000000    
   5.42744398       1.67899970E-02   0.00000000    
   5.74932289       1.58500001E-02   0.00000000    
   6.09136200       1.49599994E-02   0.00000000    
   6.44917011       1.41300010E-02   0.00000000    
   6.83109283       1.33400001E-02   0.00000000    
